iter	RMSE
0	2212.151094
1	2142.736889
2	2074.761561
3	2013.301463
4	1953.094009
5	1895.012844
6	1841.284109
7	1787.844772
8	1736.075242
9	1689.196869
10	1641.235913
11	1597.017047
12	1554.909495
13	1514.11972
14	1474.609226
15	1434.561367
16	1399.246828
17	1362.922297
18	1329.440602
19	1297.03642
20	1266.870293
21	1236.437311
22	1209.940605
23	1181.935953
24	1156.043494
25	1131.182654
26	1106.951751
27	1086.134527
28	1062.742813
29	1041.579541
30	1021.518354
31	1002.890309
32	984.5909192
33	968.0492006
34	951.054325
35	935.3090963
36	919.2904259
37	903.4580983
38	891.0295369
39	878.1501052
40	865.4463358
41	852.6839659
42	840.8669671
43	829.4259471
44	818.443557
45	808.8273048
46	798.0889837
47	788.0201245
48	778.8306693
49	771.4866424
50	761.9054666
51	753.8351742
52	745.9737341
53	739.4369273
54	731.8045573
55	725.0861253
56	717.9493111
57	711.6729692
58	704.9812968
59	698.639312
60	693.0833447
61	687.854448
62	682.6804881
63	677.0144638
64	672.9729545
65	669.1564773
66	664.912056
67	661.1357379
68	657.4767487
69	654.2429942
70	650.2833655
71	647.0858441
72	644.7852321
73	640.7529383
74	637.4255612
75	633.9537916
76	631.5289105
77	629.3574516
78	626.8279411
79	625.0696396
80	622.3201805
81	619.7963803
82	618.0275927
83	615.1248786
84	611.858353
85	609.6924265
86	607.2117182
87	605.3528501
88	603.3347759
89	600.856149
90	598.9252343
91	597.3556861
92	595.7365687
93	594.2055282
94	593.2468627
95	591.6135831
96	589.5988112
97	587.2618277
98	586.1641702
99	584.8602463
100	583.5936082
101	581.6908813
102	580.2738228
103	578.1397764
104	576.5430336
105	575.02067
106	573.8994208
107	572.2526761
108	570.8064205
109	569.603637
110	568.0754481
111	566.538008
112	565.3501273
113	564.0584702
114	562.8044556
115	561.7130195
116	560.5130171
117	559.4162285
118	558.7325478
119	557.2924007
120	556.2641807
121	555.5145457
122	554.2937608
123	553.6482725
124	553.0832338
125	551.9894406
126	551.3353492
127	550.1843561
128	549.1906937
129	548.6782229
130	547.4770881
131	546.5331428
132	545.8592197
133	545.2387315
134	544.3772039
135	542.9219045
136	542.1888774
137	541.1126189
138	540.2111409
139	539.136745
140	538.998942
141	538.0596092
142	537.3152561
143	536.4394012
144	535.5885724
145	534.6357928
146	533.2143267
147	532.5469008
148	531.6933035
149	531.0542897
150	529.8280327
151	528.8645026
152	527.4668943
153	526.5782123
154	526.2710825
155	525.4229556
156	524.7895265
157	524.6066135
158	523.580985
159	522.8490631
160	522.0603502
161	520.982426
162	520.2975764
163	519.1195452
164	518.6596784
165	517.7226216
166	517.2410264
167	516.3915011
168	515.6668906
169	514.770326
170	513.9855252
171	513.5764795
172	513.0202365
173	512.4888361
174	511.5250958
175	511.1362632
176	510.1722453
177	509.6406092
178	509.1089034
179	508.0448211
180	507.4136003
181	506.7011314
182	505.9622063
183	505.3300845
184	504.3369618
185	503.7889923
186	502.9804923
187	502.4942044
188	501.8019764
189	501.0920149
190	500.4886372
191	499.694495
192	498.982645
193	498.0890909
194	497.5059195
195	497.0628448
196	496.6286803
197	495.7781924
198	494.8749849
199	494.3515252
200	493.8850301
201	493.1952851
202	492.457676
203	491.7785348
204	490.9564403
205	490.4304109
206	489.7512249
207	489.1513658
208	488.683294
209	488.2075578
210	487.5504171
211	486.8005323
212	486.055569
213	485.6773793
214	485.0542663
215	484.4351238
216	483.8082294
217	483.3499161
218	482.5322728
219	482.0378288
220	481.503146
221	480.8198114
222	480.0621679
223	479.5530329
224	478.8772911
225	478.4001771
226	477.7560265
227	477.4091752
228	476.9125218
229	476.3709653
230	475.8227188
231	475.3070718
232	474.9219457
233	474.2788261
234	473.4699054
235	472.8445581
236	472.3478085
237	471.77572
238	471.2217343
239	470.6981717
240	470.0504628
241	469.5315312
242	469.068437
243	468.6100572
244	468.2336042
245	467.630304
246	467.1890295
247	466.7286677
248	466.2612133
249	465.7062789
250	465.0185508
251	464.0231931
252	463.6536752
253	462.7601923
254	462.1048267
255	461.5459013
256	461.1359944
257	460.681923
258	460.2584602
259	459.8394287
260	459.5084026
261	458.7882494
262	458.4561462
263	457.9277145
264	457.4881606
265	457.1094975
266	456.8162481
267	456.2658461
268	455.8939601
269	455.5431546
270	455.0134122
271	454.446199
272	454.1862654
273	453.9116667
274	453.39473
275	452.8089773
276	452.3873427
277	452.0036848
278	451.5235908
279	451.090832
280	450.6196142
281	450.4348607
282	449.8064725
283	449.5403097
284	449.0972509
285	448.6395168
286	448.3106633
287	447.9831142
288	447.5176637
289	447.2035852
290	446.8359088
291	446.2263423
292	445.9078531
293	445.3329286
294	445.0019826
295	444.4955949
296	444.2506306
297	443.6482917
298	443.3074304
299	442.9748173
300	442.3699664
301	441.5982135
302	441.2797231
303	440.879167
304	440.3596734
305	439.9670665
306	439.6350504
307	439.1960419
308	438.9432472
309	438.4375843
310	437.8448648
311	437.4553738
312	437.0050988
313	436.7684629
314	436.2461712
315	435.9773335
316	435.5932792
317	435.0902334
318	434.8537535
319	434.4916839
320	434.1213343
321	433.804125
322	433.1654987
323	432.7448706
324	432.3971862
325	431.9281939
326	431.4371583
327	431.188757
328	430.7838763
329	430.4149595
330	429.9566169
331	429.6175956
332	429.2965686
333	428.4988265
334	427.881552
335	427.4426426
336	426.7079717
337	426.4451983
338	426.130924
339	425.9091546
340	425.5615507
341	425.1991233
342	424.7756278
343	424.2651234
344	423.9653888
345	423.5037622
346	423.0745868
347	422.8227422
348	422.3996933
349	421.9787502
350	421.603041
351	421.3758763
352	421.154719
353	420.5911277
354	420.2730071
355	419.9404649
356	419.6614633
357	419.3589216
358	419.0136095
359	418.3073467
360	418.1075205
361	417.693656
362	416.9783452
363	416.5542399
364	416.1419018
365	415.6475716
366	415.283846
367	415.0256766
368	414.6501923
369	414.3473743
370	413.8684765
371	413.4684118
372	413.0730961
373	412.717625
374	412.3850925
375	412.1010708
376	411.4615713
377	410.9646081
378	410.5137392
379	410.15411
380	409.9517559
381	409.6804222
382	409.229686
383	408.8513104
384	408.539901
385	408.2595703
386	407.7966204
387	407.4810971
388	407.1740472
389	406.8814899
390	406.6193478
391	406.4278236
392	406.2457325
393	405.9680692
394	405.7622612
395	405.4498172
396	404.9190947
397	404.6686342
398	404.3376707
399	403.9712051
400	403.4703597
401	403.1906489
402	402.8936552
403	402.5930079
404	402.3200461
405	401.9588572
406	401.6335006
407	401.3382483
408	401.0864445
409	400.6196362
410	400.2051991
411	399.8453472
412	399.5063529
413	399.1372827
414	398.8618688
415	398.6099056
416	398.2267337
417	397.8790814
418	397.5459464
419	397.4237662
420	397.150206
421	396.7280673
422	396.5455809
423	396.2989397
424	395.940621
425	395.5516538
426	395.1505477
427	394.8944033
428	394.5049554
429	394.3186329
430	393.9608803
431	393.6718849
432	393.4717668
433	393.1717399
434	392.7799978
435	392.5302561
436	392.2077677
437	391.8008256
438	391.4090702
439	391.1315762
440	390.8557673
441	390.4981894
442	390.2890671
443	389.8726292
444	389.516522
445	389.2856215
446	389.1372852
447	388.7046112
448	388.3400174
449	387.9805847
450	387.540661
451	387.323854
452	387.2303852
453	386.9403913
454	386.6872691
455	386.2218242
456	386.0667163
457	385.7779918
458	385.2657619
459	384.9393482
460	384.4367258
461	384.2624132
462	384.0718262
463	383.7740041
464	383.4848556
465	383.2358658
466	382.8989866
467	382.5735922
468	382.3977992
469	381.9759792
470	381.4829643
471	381.1932052
472	380.8784534
473	380.624515
474	380.2782185
475	380.0616153
476	379.8868986
477	379.5676486
478	379.2426866
479	378.8334675
480	378.6072866
481	378.4073019
482	378.0403945
483	377.7240274
484	377.3859373
485	377.193648
486	376.9445993
487	376.7086685
488	376.4794577
489	376.070083
490	375.9290708
491	375.6794824
492	375.4995144
493	375.3767404
494	375.1162401
495	374.7859474
496	374.5251666
497	374.2944471
498	374.018246
499	373.6978352
500	373.4036975
501	373.210883
502	372.9734416
503	372.6320753
504	372.3083058
505	372.0967716
506	371.9376881
507	371.641908
508	371.4379862
509	371.340329
510	371.1645551
511	370.8582953
512	370.4399181
513	370.2346623
514	370.0391956
515	369.9676962
516	369.6273717
517	369.3213305
518	369.0078635
519	368.7480686
520	368.3773877
521	368.0490341
522	367.7566028
523	367.4461056
524	367.2598962
525	367.0539662
526	366.6861412
527	366.4146234
528	366.1458036
529	365.8739352
530	365.6154718
531	365.3172707
532	365.0777851
533	364.945669
534	364.7856236
535	364.6286886
536	364.4749459
537	364.1675765
538	363.9164148
539	363.6369078
540	363.355929
541	363.2804654
542	362.9927753
543	362.8244526
544	362.5206354
545	362.3358042
546	362.1384592
547	361.970644
548	361.7883302
549	361.5219577
550	361.1797415
551	360.791871
552	360.7066897
553	360.5774854
554	360.3544351
555	360.0399449
556	359.780337
557	359.5800166
558	359.2083162
559	358.9381667
560	358.8008377
561	358.6373732
562	358.3840672
563	358.0467314
564	357.8057452
565	357.5530988
566	357.367038
567	357.2482218
568	356.9990803
569	356.8206894
570	356.5588579
571	356.4186219
572	356.242373
573	355.9940008
574	355.7621112
575	355.497375
576	355.2609018
577	355.1113719
578	354.9245741
579	354.5546764
580	354.3183518
581	354.2549309
582	354.1010961
583	353.6857378
584	353.4061687
585	353.202895
586	352.9434246
587	352.6315567
588	352.4323682
589	352.0672315
590	351.8939181
591	351.6002749
592	351.33044
593	351.1533127
594	350.9353927
595	350.7467415
596	350.4693042
597	350.0708809
598	349.8420721
599	349.6830978
600	349.4566689
601	349.292999
602	349.0238413
603	348.9294234
604	348.8369614
605	348.6084605
606	348.4160724
607	348.3209831
608	348.1538326
609	348.0242433
610	347.7906623
611	347.6307076
612	347.3976168
613	347.2649834
614	346.9819959
615	346.8713207
616	346.6891147
617	346.2189338
618	345.843317
619	345.6845551
620	345.4663237
621	345.2203449
622	345.0480844
623	344.8653884
624	344.6953778
625	344.3464044
626	344.1444337
627	343.7872265
628	343.5813477
629	343.2749191
630	343.066392
631	342.7193368
632	342.5069949
633	342.33697
634	342.0905875
635	341.9143896
636	341.6650359
637	341.495169
638	341.1379992
639	340.9731734
640	340.8153847
641	340.7504164
642	340.5187571
643	340.4422408
644	340.1583765
645	339.8203927
646	339.5882459
647	339.2230078
648	339.0465916
649	338.775411
650	338.5213918
651	338.1908384
652	337.9355528
653	337.7004065
654	337.65574
655	337.4853609
656	337.1709591
657	336.7747065
658	336.6151979
659	336.4677402
660	336.3248744
661	336.0963146
662	335.8780783
663	335.6364318
664	335.4232018
665	335.0337447
666	334.7014941
667	334.4953461
668	334.2965944
669	334.2178305
670	333.8925304
671	333.6265392
672	333.3987632
673	333.2010647
674	333.0574232
675	332.989914
676	332.7772888
677	332.5083418
678	332.3105365
679	332.0804579
680	331.9169714
681	331.638203
682	331.2931242
683	331.1287511
684	330.9052386
685	330.603802
686	330.4789559
687	330.3287369
688	330.0892693
689	329.9467631
690	329.7465703
691	329.510684
692	329.3851595
693	329.2692495
694	329.1599885
695	328.9724105
696	328.8587776
697	328.7555302
698	328.5433076
699	328.3935528
700	328.1668229
701	328.0133765
702	327.7954934
703	327.6698703
704	327.473768
705	327.2253362
706	327.0206458
707	326.7584913
708	326.4558346
709	326.1283788
710	325.864683
711	325.5551564
712	325.1594772
713	325.085478
714	324.9943542
715	324.7283608
716	324.3812387
717	324.2136547
718	323.9369192
719	323.7116622
720	323.4300651
721	323.3321379
722	323.2203288
723	323.012138
724	322.6996592
725	322.4719283
726	322.0800499
727	322.0531462
728	321.7713278
729	321.6177932
730	321.4616041
731	321.3208106
732	321.0878722
733	320.8907436
734	320.7341481
735	320.3223759
736	319.9729381
737	319.8164646
738	319.4715939
739	319.1896326
